Algorithm,keygen/s,keygen(cycles),encaps/s,encaps(cycles),decaps/s,decaps(cycles)
BIKE-L1 (x86_64),3935.67,635089,22626.67,110344,1429.52,1748479
BIKE-L1 (x86_64-ref),229.36,10899657,3200,781171,177.49,14086238
BIKE-L1 (x86_64-noport),3617,691007,22432.67,111297,1694.67,1475144
BIKE-L3 (x86_64),1319.23,1894547,9931,251550,590.94,4229830
BIKE-L3 (x86_64-ref),73.02,34240689,1095.63,2281289,62.94,39727202
BIKE-L3 (x86_64-noport),1315.23,1900430,10148,246195,510.33,4898002
BIKE-L5 (x86_64),552.15,4527450,4956.33,504150,239.51,10438820
BIKE-L5 (x86_64-ref),28.59,87434483,437.85,5710196,25.29,98835160
BIKE-L5 (x86_64-noport),561.48,4452785,5048.67,494943,209.98,11904131
Classic-McEliece-348864 (x86_64),16.4,152452381,50942.67,48955,20880.67,119654
Classic-McEliece-348864 (x86_64-ref),7.88,317361062,16455,151814,48.27,51791575
Classic-McEliece-348864 (x86_64-noport),18.48,135258506,56800.67,43900,21641.67,115447
Classic-McEliece-348864f (x86_64),21.91,114112062,55493.33,44930,20729,120532
Classic-McEliece-348864f (x86_64-ref),17.39,143701552,16552.67,150912,48.17,51902525
Classic-McEliece-348864f (x86_64-noport),23.75,105271138,55919.67,44594,21502.67,116193
Classic-McEliece-460896 (x86_64),6.2,403139101,27528.33,90702,10764,232169
Classic-McEliece-460896 (x86_64-ref),1.92,1299012132,7093.67,352324,20.83,119981019
Classic-McEliece-460896 (x86_64-noport),6.47,386619126,24989.67,99927,11018.33,226814
Classic-McEliece-460896f (x86_64),7.98,313468104,27077.67,92208,10811.67,231112
Classic-McEliece-460896f (x86_64-ref),6.11,409115941,8449.67,295757,20.87,119789331
Classic-McEliece-460896f (x86_64-noport),7.48,334212547,24271.33,102883,11127,224604
Classic-McEliece-6688128 (x86_64),3.28,762797239,12765.33,195656,9155,272958
Classic-McEliece-6688128 (x86_64-ref),1.12,2241507136,4131.67,604987,10.83,230772936
Classic-McEliece-6688128 (x86_64-noport),4.18,597551552,13655.67,182965,9388.67,266204
Classic-McEliece-6688128f (x86_64),5.07,493381441,14341.33,174163,9130,273698
Classic-McEliece-6688128f (x86_64-ref),3.12,801724339,4118.33,606897,10.86,230265253
Classic-McEliece-6688128f (x86_64-noport),5.54,451425022,12244,204015,9459,264229
Classic-McEliece-6960119 (x86_64),4.58,545586595,14860.67,168104,9926.67,251739
Classic-McEliece-6960119 (x86_64-ref),1.62,1546094779,1094.33,2284504,11.19,223363224
Classic-McEliece-6960119 (x86_64-noport),3.91,638985258,14741.67,169373,10162.33,245932
Classic-McEliece-6960119f (x86_64),6.2,403053175,14877,167831,9865.67,253337
Classic-McEliece-6960119f (x86_64-ref),3.22,775523169,1105.3,2261562,11.22,222775639
Classic-McEliece-6960119f (x86_64-noport),5.89,424434528,13317.33,187607,10265.33,243453
Classic-McEliece-8192128 (x86_64),3.55,704447506,12235.33,204122,9301,268689
Classic-McEliece-8192128 (x86_64-ref),1.25,1995185166,4305.67,580490,8.88,281707590
Classic-McEliece-8192128 (x86_64-noport),3.75,666032589,12151.67,205527,9667.33,258533
Classic-McEliece-8192128f (x86_64),5.52,452592074,12212.33,204501,9326,267948
Classic-McEliece-8192128f (x86_64-ref),3.06,815715642,4229.33,590917,8.89,281187190
Classic-McEliece-8192128f (x86_64-noport),5.05,494987296,12172,205242,9635.67,259331
FrodoKEM-1344-AES (x86_64),565.81,4418588,435.85,5735506,451.33,5539774
FrodoKEM-1344-AES (x86_64-ref),556.81,4489002,328.33,7614773,334.78,7467150
FrodoKEM-1344-AES (x86_64-noport),590.94,4229799,452.03,5529673,467.18,5350147
FrodoKEM-1344-SHAKE (x86_64),202.46,12348313,188.35,13274134,190.87,13096479
FrodoKEM-1344-SHAKE (x86_64-ref),87.25,28651581,80.15,31191514,80.7,30975319
FrodoKEM-1344-SHAKE (x86_64-noport),278.48,8976460,250.83,9966522,255.83,9771746
FrodoKEM-640-AES (x86_64),1876.33,1332153,1357,1842254,1416,1765363
FrodoKEM-640-AES (x86_64-ref),1881.67,1328506,1190.33,2100217,1208,2069445
FrodoKEM-640-AES (x86_64-noport),1964,1272724,1439.67,1736538,1499.83,1666480
FrodoKEM-640-SHAKE (x86_64),744.42,3358157,661.45,3778820,676.67,3694791
FrodoKEM-640-SHAKE (x86_64-ref),346,7225389,301.47,8291257,298.8,8365247
FrodoKEM-640-SHAKE (x86_64-noport),1014.33,2464727,875.71,2854576,892.33,2801660
FrodoKEM-976-AES (x86_64),1011,2472577,760.67,3286463,792.67,3153751
FrodoKEM-976-AES (x86_64-ref),965.01,2590231,576.14,4338913,592.14,4221567
FrodoKEM-976-AES (x86_64-noport),1067.33,2342284,793.33,3151110,828.39,3017547
FrodoKEM-976-SHAKE (x86_64),362.43,6897769,333.67,7493268,338.33,7387860
FrodoKEM-976-SHAKE (x86_64-ref),157.84,15836420,142.1,17594149,137.01,18243838
FrodoKEM-976-SHAKE (x86_64-noport),492.84,5072994,446.85,5593994,456.18,5480556
HQC-128 (x86_64),23982.67,104042,12728,196288,7011.33,356471
HQC-128 (x86_64-ref),6721.67,371774,3574.33,699350,2376.33,1051956
HQC-128 (x86_64-noport),23797.33,104895,12517,199609,6623,377388
HQC-192 (x86_64),10223.33,244310,5454.33,458252,3356,744868
HQC-192 (x86_64-ref),2857.33,874714,1466,1705454,1008.33,2479334
HQC-192 (x86_64-noport),10894,229254,5487.67,455452,3247.33,769800
HQC-256 (x86_64),5594.67,446450,2966.33,842762,1762.75,1417877
HQC-256 (x86_64-ref),1533.67,1629950,766.74,3260476,526.67,4747089
HQC-256 (x86_64-noport),5829,428554,2945.67,848621,1697,1473245
Kyber1024 (x86_64),39825,62634,33146.67,75288,41376.33,60308
Kyber1024 (x86_64-ref),8821,283298,7941.33,314710,7032,355458
Kyber1024 (x86_64-noport),46679.33,53412,37621.67,66317,48531.33,51423
Kyber512 (x86_64),84523,29440,67543,36878,92276.67,26999
Kyber512 (x86_64-ref),23374,106852,18984.67,131591,16129,154943
Kyber512 (x86_64-noport),96189.33,25860,74215.33,33568,104867.33,23763
Kyber768 (x86_64),54790.67,45487,45817,54432,59523.67,41922
Kyber768 (x86_64-ref),13678.67,182648,11610.33,215233,10102.67,247397
Kyber768 (x86_64-noport),60951.33,40875,50446.33,49425,67192.67,37125
sntrup761 (x86_64),2423,1031693,49779.33,50084,43404.67,57457
sntrup761 (x86_64-ref),115.69,21607842,2309.67,1082338,818.39,3054276
sntrup761 (x86_64-noport),3057,817674,54828.67,45450,47511,52499
