Algorithm,keygen(maxHeap),keygen(maxStack),encaps(maxHeap),encaps(maxStack),decaps(maxHeap),decaps(maxStack)
BIKE-L1 (x86_64),10940,92024,12545,26040,12577,77944
BIKE-L1 (x86_64-ref),10940,35728,12545,26000,12577,77904
BIKE-L3 (x86_64),17364,179368,20511,50616,20543,153528
BIKE-L3 (x86_64-ref),17364,69432,20511,50680,20543,153592
BIKE-L5 (x86_64),25792,484840,30978,95272,31010,294632
BIKE-L5 (x86_64-ref),25792,132696,30978,95256,31010,294616
Classic-McEliece-348864 (x86_64),271788,455504,276484,4520,271948,49040
Classic-McEliece-348864 (x86_64-ref),271788,424216,276484,960,271948,22824
Classic-McEliece-348864f (x86_64),271788,480384,276484,4504,271948,49024
Classic-McEliece-348864f (x86_64-ref),271788,425080,276484,960,271948,22824
Classic-McEliece-460896 (x86_64),541944,694000,546700,2088,542164,93328
Classic-McEliece-460896 (x86_64-ref),541944,886808,546700,2072,542164,40088
Classic-McEliece-460896f (x86_64),541944,694240,546700,2072,542164,93312
Classic-McEliece-460896f (x86_64-ref),541944,887672,546700,2072,542164,40088
Classic-McEliece-6688128 (x86_64),1063100,975744,1067908,6872,1063372,107232
Classic-McEliece-6688128 (x86_64-ref),1063100,1567912,1063100,400,1063372,49688
Classic-McEliece-6688128f (x86_64),1063100,975904,1067908,6872,1063372,107232
Classic-McEliece-6688128f (x86_64-ref),1063100,1568776,1063100,400,1063372,49688
Classic-McEliece-6960119 (x86_64),1065443,1102112,1070237,6808,1065701,93984
Classic-McEliece-6960119 (x86_64-ref),1065443,1523752,1065443,400,1065701,50712
Classic-McEliece-6960119f (x86_64),1065443,1102336,1070237,6808,1065701,93984
Classic-McEliece-6960119f (x86_64-ref),1065443,1524664,1065443,400,1065701,50712
Classic-McEliece-8192128 (x86_64),1376120,1295392,1376120,400,1376392,147520
Classic-McEliece-8192128 (x86_64-ref),1376120,1886936,1376120,400,1376392,56216
Classic-McEliece-8192128f (x86_64),1376120,1295584,1376120,400,1376392,147520
Classic-McEliece-8192128f (x86_64-ref),1376120,1887800,1376120,400,1376392,56216
FrodoKEM-1344-AES (x86_64),68960,88232,90448,173400,90480,216664
FrodoKEM-1344-AES (x86_64-ref),305874,87872,326641,174560,325706,217824
FrodoKEM-1344-SHAKE (x86_64),69616,77432,91280,123768,90480,165752
FrodoKEM-1344-SHAKE (x86_64-ref),68784,76104,90448,122472,90480,165736
FrodoKEM-640-AES (x86_64),33856,43112,43592,84136,43608,104808
FrodoKEM-640-AES (x86_64-ref),271677,42720,278642,83680,278658,104352
FrodoKEM-640-SHAKE (x86_64),34512,37944,44248,59672,44264,79248
FrodoKEM-640-SHAKE (x86_64-ref),38248,32792,44248,58560,44264,79232
FrodoKEM-976-AES (x86_64),51280,64680,66872,126328,66896,157784
FrodoKEM-976-AES (x86_64-ref),287297,64288,303065,127424,301223,158976
FrodoKEM-976-SHAKE (x86_64),51936,55728,67704,89584,67728,121040
FrodoKEM-976-SHAKE (x86_64-ref),51936,55680,67704,89536,67728,121024
HQC-128 (x86_64),8714,38760,250101,8400,251072,17640
HQC-128 (x86_64-ref),244113,48232,248658,63848,248722,70600
HQC-192 (x86_64),13260,76808,260099,15232,260163,33568
HQC-192 (x86_64-ref),248659,97704,257749,127736,257813,141304
HQC-256 (x86_64),18706,149096,270988,23408,270145,52928
HQC-256 (x86_64-ref),254105,155112,268638,204184,268702,225912
Kyber1024 (x86_64),13480,16424,11344,22008,11376,23640
Kyber1024 (x86_64-ref),13480,16488,10736,19024,10768,20304
Kyber512 (x86_64),11176,7208,8240,11704,8272,12536
Kyber512 (x86_64-ref),11176,7208,7632,9072,7664,9856
Kyber768 (x86_64),12328,11304,9712,16344,9744,17496
Kyber768 (x86_64-ref),12328,11304,9104,13680,9136,14784
sntrup761 (x86_64),244846,6224,243567,23000,245949,7536
sntrup761 (x86_64-ref),244846,6192,248135,6160,245949,7472
